param,true,post_mean,post_sd,ci_low,ci_high,ols
intercept,2.0,1.9936237217419475,0.10775520584659426,1.778878375108898,2.208867002833423,1.992719526016515
slope,-1.5,-1.5650105815172324,0.06147984649329403,-1.6880898559679076,-1.445367598279079,-1.5631857677192476
